Card,NHẬN XỬ LÝ,Card Type,Loại hoàn tiền,Thể loại,Mã MCC,Phần trăm,Max mỗi tháng,Phí Thường Niên,Note
"BIDV
Cashback  Online",,VISA,Điểm,"Online tiki shopee lazada,tiktokShop",,6%,"600,000 ₫","Miễn phí thường niên năm tiếp
theo khi đạt doanh số chi tiêu từ 150 triệu đồng/năm.","Tổng hoàn tiền 800.000 đ, nếu trả lương qua BIDV. Không thì 600.000 đ"
,,,,Online khác,,3%,,Thẻ chính: 1.000.000 VND.,
,,,,Ngoại tệ,,2%,,,
,,,,Khác,,0.30%,,Thẻ phụ: 600.000 VND.,
"BVBank
Visa & JCB Ms",,VISA,Điểm,"Giao dịch tại Shopee, Tiki, Lazada",,10%,"300,000 ₫","299,000 ₫",Chỉ dành nữ
,,,,"Giao dịch tại Grab, Be và các cửa hàng
mỹ phẩm",,5%,,,
BVBank Visa inStyle,,VISA,Cashback,"Trung tâm mua sắm, cửa hàng miễn thuế","5611,5621,5631,
5641,5651,5661,
5681,5691,5698,5699,5311,5931,5309",3%,300.000đ,Miễn phí trọn đời.,"Hạn mức tín dụng:
Từ 50 triệu đồng trở lên."
,,,,Cho các giao dịch mua hàng khác,,0.2%,,,
"BVBank JCB
Sense",,JCB,Cashback,Nhà hàng,"5811, 5812, 5813,
5814",3%,"300,000 ₫",Miễn phí trọn đời.,
,,,,Các giao dịch mua hàng khác,,0.2%,,,
BVBank Visa Joy,,VISA,Cashback,Siêu thị,5411,2/1000,Không giới hạn,Miễn phí trọn đời.,"Thời gian CT 01/06/2023 đến
31/05/2024"
,,,,Cho các chi tiêu khác,,1/1000,,,
"BVBank VISA
Lifestyle",,VISA,Cashback,"Hàng không, khách sạn, du lịch",,5%,"600,000 ₫",Từ 599.000 VND đến 999.000 VND,Thời gian CT 01/06/2023 đến 31/05/2024
,,,,Nhà hàng,"5812, 5813, 5814",4%,,,
,,,,"Bệnh viện, trường học","8211, 8299,
8220,8011, 5912,
8062, 8398, 9399",3%,,,
"BVBank NAPAS
shopON",,NAPAS,Cashback,Các giao dịch thanh toán trực tuyến,,5.00%,"200,000 ₫","499,000 ₫",Không hoàn lazada mặc dù tốn phí thường niên
"BVBank JCB 7-
Eleven",,JCB,Điểm,Chi tiêu bằng thẻ,,4/1000đ,,Miễn phí trọn đời.,
"BVBank
JCB Link",,JCB,Điểm,Chi tiêu bằng thẻ,,1/1000đ,,Miễn phí trọn đời.,
"BVBank JCB
Cheer",,JCB,Điểm,Chi tiêu tại nhà hàng,"5812, 5813, 5814",2/1000đ,,Miễn phí trọn đời.,"Từ ngày 01/06/2024 đến khi
có thông báo mới"
,,,,Các chi tiêu khác,,1/1000đ,,,
"BVBank JCB
Discovery",,JCB,Điểm,Chi tiêu bằng thẻ,,6/1000đ,,"399,000 ₫",
"BAC A BANK
MasterCa rd
Cashback",,MASTER,Cashback,"Thương mại điện tử (Lazada, Shopee,
Tiki, Tiktok shop, Sendo)",,5%,500.000 VND,"Phí thường niên:
Thẻ chính: 700.000 VND/năm Thẻ phụ: 500.000 VND/năm",ONLINE VÉ VNA 4511 5%
,,,,"Khách sạn, Du lịch, Vận chuyển",5411,3%,300.000 VND,,
,,,,"Lĩnh vực khác (Y tế, Giáo dục, Dịch vụ
chăm sóc sức khỏe, Bảo hiểm)",,1%,100.000 VND,,
,,,,,,,,,
"CIMB
Visa",,VISA,Cashback,Ẩm thực,"5812,5813,5814",3%,300.000đ,"Phí thường niên năm đầu tiên: Miễn phí.
Phí thường niên từ năm thứ hai trở đi: Miễn phí khi tổng giá trị giao dịch tài chính năm liền trước đạt","Chi tiêu từ 20tr/ tháng, Từ 24/01/2025 đến 30/06/2025 hoặc đến khi hết ngân sách chương trình."
,,,,Vé máy bay,3079.4511,,,,
,,,,"Khách sạn, resort",3501-3838,,,,
,,,,Y tế,8062,1.5%,,,
,,,,Giáo Dục,"8211,8220,8299",,,,
,,,,Các ngành khác,,1%,K giới hạn,,
Eximbank,,VISA,Cashback,Bảo hiểm,6300,3%,"650,000 ₫","1,000,000 ₫",
,,,,Y tế,8062,8%,"300,000 ₫",,
,,,,Giáo dục,"8211, 8220, 8299",,,,
 Cash Back,,,,Siêu thị,5411-5499,5%,200.000₫,,
,,,,Nhà hàng,"5812, 5813",,,,
,,,,Di chuyển,"4789, 4121",3%,"100,000 ₫",,
,,,,Hoá đơn,4900,,,,
,,,,Rạp phim,7832,,,,
"Eximbank
 Violet",,VISA,Cashback,Giao dịch online,,10%,"300,000 ₫","400,000 ₫",Chỉ dành nữ
"Eximbank
Jcb- Ultimate",,JCB,Cashback,Chi tiêu online,,3%,"1,000,000 ₫",,
,,,,"Các giao dịch chi tiêu khác:
Nhật Bản: 10% số tiền giao dịch Nước ngoài: 5% số tiền giao dịch
Việt Nam: 5% cho các giao dịch chi tiêu
ăn uống","581,258,135,814",5%,,,
EximPriority,,VISA,Cashback,Trong nước,,3%,1.000.000đ,"Năm 1: Miễn Phí
Từ năm 2: 2,000,000 VNĐ",Hiệu lực từ 10/02/2025
,,,,Nước ngoài,,12%,,,
"HD
Priority VISA",,VISA,Cashback,Mua sắm hàng hóa,,15%,300.000đ,,
,,,,"Giao dịch chi tiêu khác như y tế, giáo
dục, bảo hiểm",,0.5%,500.000đ,,
"HD JCB
Ultimate",,JCB,Cashback,Các giao dịch chi tiêu tại Nhật Bản,,20%,500.000đ,Vui lòng liên hệ trực tiếp với HDBank để biết chi tiết.,Nhóm 1: Chi tiêu 50tr/ tháng trở lên
,,,,"Các giao dịch chi tiêu cho lĩnh vực
du lịch, khách sạn, resort",,15%,300.000đ,,
,,,,Các giao dịch chi tiêu tại nước ngoài,,6%,200.000đ,,
,,,,"Các giao chi tiêu còn lại tại POS
trên lãnh thổ Việt Nam",,4%,200.000đ,,
,,,,Các giao dịch chi tiêu tại Nhật Bản,,10%,250.000đ,,Nhóm 2: Chi tiêu dưới 50tr/ tháng
,,,,"Các giao dịch chi tiêu cho lĩnh vực
du lịch, khách sạn, resort","350,535,113,517",5%,150.000đ,,
,,,,Các giao dịch chi tiêu tại nước ngoài,,3%,100.000đ,,
,,,,"Các giao chi tiêu còn lại tại POS
trên lãnh thổ Việt Nam",,2%,100.000đ,,
HDBank Vietjet Platinum,,VISA,Cashback,Khi mua vé máy bay Vietjet Air,,5%,500.000đ,Miễn phí thường niên năm đầu thẻ chính và chủ thẻ phụ.,
,,,,"Chỉ áp dụng cho các giao dịch thanh toán mua hàng tại máy POS/EDM hoặc
giao dịch thanh toán online. Không áp dụng cho các giao dịch ứng/rút tiền mặt
và giao dịch thanh toán QRcode.",,0.30%,Không giới hạn,,
HDBank Petrolime x 4in1,,MASTER,Điểm,Giao dịch nội địa.,,1/100.000đ,,Miễn phí thường niên năm đầu,Tặng 500 điểm thưởng SkyJoy khi khách hàng có DSGD từ 10 đến dưới 20 triệu đồng/tháng.
,,,,Giao dịch quốc tế.,,2/100.000đ,,,
,,,,Giao dịch xăng dầu.,,3/100.000đ,300.000Đ,,
"HDBank
Best Friend",,MASTER,Điểm,Giao dịch nội địa,,1/100.000đ,,Miễn phí thường niên,
,,,,Giao dịch quốc tế,,5/100.000đ,,,
HDBank Visa Gold,,VISA,Điểm,Giao dịch nội địa,,1/100.000đ,,Hoàn phí thường niên năm đầu tiên dành cho Chủ thẻ phụ,Hạn mức từ 10 triệu đồng trở lên.
,,,,Giao dịch quốc tế,,5/100.000đ,,,
"HDBank
Visa Classic",,VISA,Điểm,Giao dịch nội địa,,1/100.000đ,,Hoàn phí thường niên năm đầu tiên dành cho Chủ thẻ phụ,
,,,,Giao dịch quốc tế,,5/100.000đ,,,
"HDBank Mastercar
d Gold",,MASTER,Điểm,Giao dịch nội địa,,1/100.000đ,,Hoàn phí thường niên năm đầu tiên dành cho Chủ thẻ phụ,
Home credit,,VISA,Điểm,"Tại siêu thị: Áp dụng khi mua sắm tại các siêu thị như Bách Hóa Xanh, Co.opmart,
Winmart, Big C,...",,10%,100.000 điểm,"Phí phát hành thẻ: Miễn phí. Phí thường niên:
Thẻ tín dụng Home Credit: Miễn phí thường niên trọn đời.
Thẻ tín dụng Bách Hóa Xanh:
200.000 VND/năm.
Phí quản lý thẻ tín dụng: 39.000 VND/tháng. Phí này được miễn khi khách hàng thực hiện từ 5 giao dịch hoặc tổng chi tiêu từ
3.000.000 VND trở lên trong tháng sao kê tương ứng.",
,,,,"Mua sắm trực tuyến: Khi mua sắm trên
các sàn thương mại điện tử như Shopee, Lazada, TikTok Shop, Tiki,...",,10%,100.000 điểm,,
,,,,Ăn uống cuối tuần: Khi chi tiêu tại các nhà hàng vào thứ Bảy và Chủ Nhật,5411,10%,100.000 điểm,,
"HSBC
Cash Back",,VISA,Cashback,Siêu thị và cửa hàng bách hóa,5411,6%,"200,000 ₫","800.000 VNĐ cho thẻ chính.
400.000 VNĐ cho thẻ phụ.
Lưu ý: Khách hàng nhận lương qua tài khoản HSBC sẽ được thêm 2% hoàn tiền cho chi tiêu tại siêu thị và cửa hàng bách hóa, nâng tổng mức hoàn tiền lên 8% trong danh mục này.",8211-1%-Không giới hạn
,,,,Giáo dục và chăm sóc sức khỏe,,1%,Không giới hạn,,
,,,,Các chi tiêu khác,,0.3%,Không giới hạn,,
"HSBC
Live+",,VISA,Cashback,Ăn uống và mua sắm,,8%,"200,000 ₫","800.000 VNĐ cho thẻ chính.
400.000 VNĐ cho thẻ phụ.",
,,,,Cho chi tiêu giải trí,,1%,Không giới hạn,,
,,,,các chi tiêu khác,,0.3%,Không giới hạn,,
Kienlong JCB,,JCB,Cashback,Trên tổng doanh số giao dịch hợp lệ,,10%,200.000đ,"Phí thường niên năm đầu tiên:Miễn phí.
Phí thường niên từ năm thứ hai trở đi: Miễn phí khi tổng giá trị giao dịch tài chính năm liền trước đạt tối thiểu 80 triệu VND.",Từ ngày 01/01/2025 đến 31/01/202
,,,,"Giao dịch chi tiêu, mua sắm bằng Thẻ tín dụng KBank tại Thái Lan",,15%,,,"Thời gian Chương trình sẽ bắt đầu từ ngày 01 tháng 01 năm 2025 đến ngày 30 tháng
06 năm 2025 (bao gồm cả hai ngày này) (“Thời gian
Chương trình”)"
KBank - Cashback  Plus,,VISA,Cashback,Hàng không & Vận tải hàng không,"3000 – 3308, 4511",10%,1.000.000đ,990.000đ,
,,,,Thuê xe,7512,,,,"Chi tiêu từ 15.000.000 VNĐ trở lên/kỳ sao kê → Hoàn tối
đa 1.000.000 VNĐ"
,,,,"Nhà nghỉ, Khách sạn, Nhà nghỉ, Khu nghỉ
dưỡng","3501 – 3839, 7011",,,,
,,,,"Vận tải hành khách, bao gồm phà và đường sắt",4111 – 4112,,,,"Chi tiêu dưới 15.000.000 VNĐ/kỳ sao kê → Hoàn tối
đa 300.000 VNĐ"
,,,,,,,,,
,,,,Taxi và Limousines,4121,,,,
,,,,Xe Buýt,4131,,,,"300.000 VNĐ sẽ đượchoàn
ngay vào kỳ sao kê"
,,,,"Dịch vụ chuyển phát nhanh - Hàng không
và Đường bộ, và Giao nhận vận tải",4215,,,,
,,,,Cho thuê tàu thuyền,4457,,,,
,,,,"Bến du thuyền, dịch vụ vận tải",4468,,,,
,,,,"Đại lý du lịch, Vận hành du dịch",4722,,,,"Phần còn lại (tối đa 700.000 VNĐ) sẽ được hoàn vào kỳ
sao kê T+2"
,,,,"Tiếp thị trực tiếp-Các dịch vụ liên quan
đến du lịch",5962,,,,
,,,,"Bãi xe, chỗ đễ xe và Ga-ra",7523,,,,
,,,,Phục vụ ăn uống,5811,,,,
,,,,Nhà Hàng,5812,,,,
,,,,Thức ăn nhanh,5814,,,,
Liobank,,MASTER,Cashback,1 tháng được chọn 2 danh mục hoàn tiền,,10%,"500,000 ₫",Miễn phí,
"LP JCB
Ultimate",,JCB,Cashback,Ẩ̉m thực,"5821,5813,5814",10%,800.000đ,"Phí thường niên thẻ chính:
1.499.000 VND/năm.
Phí thường niên thẻ phụ: Miễn phí. Ưu đãi phí thường niên:
Hoàn phí năm tiếp theo khi tổng chi tiêu năm trước đạt 240.000.000 VND.",
,,,,Nghĩ dưỡng,3501-3524,,,,
,,,,Y Tế,"4119,8011,8021 
8031,8041,8042,8043 ,8044,8049,80508062 ,
8071,8082 ,8099",15%,,,
,,,,Giáo dục,"8111 ,8211,8220,8241,8244,8249,8299",,,,
,,,,Bảo hiểm,"6300,6381,6399",,,,
,,,,"Mọi chi tiêu tại các đơn vị thuộc loại hình khác như: mua sắm online, siêu thị…",,0.5%,,,
MB Bank Master Hi ads,,MASTER,Cashback,Chi tiêu quảng cáo trong tháng,"7311, 5966, 5967,
5968,5969, 5817,5818",1%,100.000đ,Phí thường niên: 200.000 VND cho 5 năm đầu; hoàn phí khi chi tiêu đạt 30 triệu VND/năm.,Chi tiêu đạt 25 triệu VND
,,,,,,2%,300.000đ,,Chi tiêu đạt 80 triệu VND
,,,,,,1%,500.000đ,,Chi tiêu đạt 100 triệu VND
,,,,,,2.5%,2.500.000đ,,Chi tiêu từ 100 triệu VND trở lên
"MSB
Visa Signature",,VISA,Điểm,Ăn uống,"5811, 5812, 5813,
5814",10%,"1,000,000 ₫","1,499,000 ₫",Max 300k
,,,,Giáo dục,"8299, 8211, 8220,
8351",,,,Max 1 triệu
,,,,Y tế,"8062, 8099, 8011,
8021, 8042, 8071,
9399, 9211",,,,Max 300k
,,,,Bảo hiểm,"6300, 5960",,,,
"MSB
mDigi",,MASTER,Điểm,Ăn uống,"5812, 5813, 5814",20%,"300,000 ₫","399,000 ₫",Chọn danh mục chi tiêu
,,,,Du lịch,"4722, 7011",,,,
,,,,"Sản phẩm số (sách, nhạc, game…)",,,,,
"MSB
Online",,VISA,Điểm,Vé xem phim online,,,"300,000 ₫","299,000 ₫",
,,,,Online trang TMĐT,,10%,,,
"MSB
Family",,MASTER,Điểm,"Gym,Yoga, Fitness, Spa. Cửa hàng sách, báo, giáo dục. Khóa học kỹ năng, nghệ thuật, triển lãm, bảo tàng","7997, 7230,7298.
8299, 8211, 8220,
8351. 5942,5970,
5971,7991, 7333",30%,"900,000 ₫","899,000 ₫","Tổng chi tiêu từ 30 triệu hoàn
Max 900k"
,,,,,,20%,,,"Tổng chi tiêu từ 10 đến dưới
30 triệu hoàn Max 700k"
,,,,,,10%,,,"Tổng chi tiêu < 10 triệu hoàn
Max 500k"
,,,,"Siêu thị: Danh sách các siêu thị áp dụng: Big C, GO!, AEON, LOTTE Mart, MEGA
Market, WinMart, WinMart+, Co.opmart, Emart, Circle K, 7-Eleven, FamilyMart, FujiMart, Robins, SatraMart, Bách Hoá Xanh, Sakuko, Homefarm, Kohnan",5411,5%,,,"Tổng chi tiêu từ 30 triệu hoàn Max 900k
- Tổng chi tiêu từ 10 đến dưới 30 triệu hoàn Max 700k
- Tổng chi tiêu < 10 triệu hoàn Max 500k"
"MSB
Visa travel",,VISA,Cashback,"Nhà hàng, ăn uống tại nước ngoài","5812, 5813,5814",6%,600.000Đ,Phí thường niên:Thẻ chính: 599.000,10%
,,,,Khách sạn,7011,,,,
,,,,Hàng không,"4511, 4582, 3000,3298",,,,
,,,,"Phương tiện giao thông (Grab, Be, Taxi, GS","4121, 4131,4011,
4111, 4112,4789",,,,
,,,,Cửa hàng miễn thuế (Duty Free),5309,,,,
,,,,"Du lịch (Traveloka, Agoda, Booking.v",4722,,,,
"Nam a
Happy Digital",,MASTER,Phi vật lý,Cho chi tiêu trực tuyến tại nước ngoài,4900,10%,500.000đ,Miễn phí thường niên,
,,,,Cho chi tiêu trực tuyến trong nước,,2%,,,
Nam A Bank Visa Platinum,,VISA,,Giao dịch khác,," 0,5%",1.500.000 đ,,"Số tiền hoàn tối đa 1,500,000 VND/Kỳ BTBGD."
,,,,Giao dịch ngoại tệ ,"8211, 8220, 8241, 8249, 8299, 5047, 
5122, 5912, 8011, 8021, 8031, 8041, 
8042, 8043, 8049, 8050, 8062, 8071, 
8099.","2,5%",,,
,,,,"Giao dịch tại MCC thuộc nhóm ngành y 
tế, giáo dục:",,1%,,,
"OCB
MASTER CARD WORLD 2IN1",,MASTER,Dặm bay,"Vé Máy Bay, Sân Golf, Bảo Hiểm,
Các lĩnh vực khác",,10%,1.000.000 đ,999.000 VND,
,,,,,,,,,
,,,,Thanh toán bảo hiểm,,1%,,,
"OCB iGEN
MASTER",,MASTER,Cashback,Đơn Online,,10%,,999.000 VND,Thẻ chính: 999.000 VND. Miễn phí thường niên năm đầu tiên
OCB DOCTOR MASTER CARD PLATINU M,,MASTER,Cashback,Y Tế,,8.33%,500.000đ,Thẻ chính: 1.499.000 VND,
,,,,,,,,Thẻ phụ: 799.000 VND,
OCB MASTER CARD PLATINU M,,MASTER,Cashback,Giao dịch mua sắm công nghệ,,10%,1.500.000đ,Thẻ chính: 999.000 VND,
,,,,Giao dịch mua vé máy bay và ẩm thực,5812,5%,,Thẻ phụ: 499.000 VND,
,,,,Giao dịch thanh toán bảo hiểm.,,1%,,,
Sacom Visa Signature,,VISA,Dặm bay,"Hàng không (VietnamAirlines, Vietjet Air",,1/20.000đ,30.000 điểm,Thẻ chính: 1.499.000 VND/năm.,Đổi vé máy bay nhiều hãng
,,,,,,,,Thẻ phụ: Miễn phí.,"4.500 dặm thưởng bổ sung: Khi tổng chi tiêu đạt tối thiểu 100 triệu VND trong vòng 3 tháng đầu kể từ ngày kích
hoạt thẻ"
,,,,,,,,,
,,,,,,,,,
Sacom Visa Unig,,VISA,Cashback,Siêu thị,"T5411,5499,5722,9750",20%,"300,000 ₫","599,000 ₫",
,,,,Di chuyển,"412,159,694,789",,,,
,,,,Khác,,0.5,"300,000 ₫",,
Sacomba nk Platinum American Express®,,AMEX,Cashback,"GD thanh toán vé máy bay, khách
sạn, đại lý du lịch.",,20%,"1,000,000 ₫","599.000đ/năm đầu, năm 2 free",
,,,,"Cho các giao dịch nước ngoài tại máy
POS/mPOS.",,10%,,,
,,,,"Cho các giao dịch trực tuyến nước
ngoài.",,5%,,,
,,,,Cho các giao dịch khác.,,0.5%,,,
"Sacom JCB
Ultimate",,JCB,Cashback,"Chi tiêu ăn uống tại nước ngoài vào
cuối tuần.","5811,5812,5813,
5814,5462",15%,700.000đ,,Mở hạn mức to trên 100tr mới ra được
,,,,"Chi tiêu ăn uống trong nước vào cuối
tuần.",,10%,,,
,,,,"Chi tiêu ăn uống các ngày còn lại và
các chi tiêu khác.",,0.50%,,,
"Sacom VISA PLATINU M CASHBA
CK",,VISA,Cashback,Giao dịch trực tuyến trong và ngoài nước.,,5%,600.000đ,"599,000 ₫",
,,,,"Giao dịch tại thiết bị chấp nhận thẻ nước
ngoài.",,3%,,,
,,,,"Giao dịch khác và các giao dịch thanh
toán liên quan đến MCC hàng không",,0.50%,,,
Sacombank Tiki Platinum,,VISA,Cashback,Các giao dịch thanh toán tại website/app Tiki và Ticketbox,,10%,600.000đ,Hoàn 100% PTN năm đầu dành cho chủ thẻ mới đạt tổng mức chi tiêu tối thiểu 2.000.000 VND (cho phép cộng dồn) tại Tiki và/hoặc Ticketbox trong vòng 30 ngày kể từ ngày kích hoạt thẻ thành công.,0742-ONEFIN
,,,,Các giao dịch thanh toán online tại đơn vị chấp nhận thẻ khác (trừ Tiki và MCC đặc biệt),,3.0%,,"Hoàn 20% PTN các năm tiếp theo khi đạt doanh số tối thiểu
12.000.000 VND/năm trước đó.",
,,,,Cho các giao dịch thanh toán khác.,,0.5%,,,
SeABank SIGNATU RE,,Thẻ Đen,Điểm,"Lĩnh vực Y tế: Thuốc, Tá dược",5912,10%,"2,000,000 ₫","- Miễn phí thường niên năm đầu tiên
- Hoàn phí thường niên từ năm thứ 2 trở đi nếu tổng chi tiêu thanh toán của năm trước tối thiểu 250 triệu đồng/năm",Chủ thẻ sẽ được đổi điểm thưởng khi số điểm thưởng tích lũy đạt tối thiểu 50.000 điểm và số điểm thưởng tích lũy được đổi tối đa trong kỳ sao kê là: 2.000.000 điểm
,,,,"Lĩnh vực Spa/Massage: Chăm sóc sức
khỏe, làm đẹp/ Phòng Massage",7298,5%,,,
,,,,,7297,,,,
,,,,"Lĩnh vực Khách sạn/Nhà nghỉ: Nhànghỉ,
khách sạn, khu nghỉ mát",7011,3%,,,
,,,,,Từ 3501 đến 3838,,,,
,,,,"Lĩnh vực Dịch vụ ăn uống: Địa điểm ăn uống, nhà hàng/ Cửa hàng đồ uống",5812,1%,,,
,,,,,5813,,,,
SEABAN K VISA PLATINU M,,VISA,Điểm,POS nước ngoài bằng ngoại tệ,,6%,3.000.000đ,"Hoàn phí thường niên năm nhất cho Khách hàng thực hiện ít nhất 1 giao dịch thanh toán thành công và có tổng giá trị giao dịch thanh toán tối thiểu 1.000.000 VND/ ngoại tệ tương đương quy đổi ( không tính phí giao dịch, không tính giao dịch nạp thẻ điện thoại- topup/ giao dịch thanh toán hóa đơn- billing) trong vòng 30 ngày kể từ ngày thẻ được kích hoạt thành công trên hệ thống.
- Hoàn phí thường niên từ năm thứ 2 trở đi nếu tổng chi tiêu thanh toán của năm trước tối thiểu 150 triệu đồng/ năm",
,,,,Không giới hạn cho mọi giao dịch thanh toán khác,,0.3%,,,
SEABANK-EASY,,VISA,Điểm,"Thanh toán trực tuyến tại các thương hiệu lớn: SHOPEE, TIKI, ITUNES, AMAZON, ALIEXPRESS",,8%,600.000₫,"Hoàn phí thường niên năm nhất cho Khách hàng thực hiện ít nhất 2 giao dịch thanh toán thành công và có tổng giá trị giao dịch thanh toán tối thiểu
500.000 VND/ ngoại tệ tương đương quy đổi ( không tính phí giao dịch, không tính giao dịch nạp thẻ điện thoại- topup/ giao dịch thanh toán hóa đơn-billing)",
,,,,,,0.3%,,,
SEALAD Y CASHBA CK,,MASTER,Điểm,Hoàn tiền mọi giao dịch thanh toán với tỷ lệ tích lũy  đối với giao dịch bằng VND,,0.2%,Ko giới hạn,"Hoàn phí thường niên năm nhất cho Khách hàng thực hiện ít nhất 2 giao dịch thanh toán thành công và có tổng giá trị giao dịch thanh toán tối thiểu 500.000 VND/ ngoại tệ tương đương quy đổi ( không tính phí giao dịch, không tính giao dịch nạp thẻ điện thoại- topup/ giao dịch thanh toán hóa đơn- billing) trong vòng 30 ngày kể từ ngày thẻ được kích hoạt thành công trên hệ thống
- Hoàn phí thường niên từ năm thứ 2 trở đi nếu tổng chi tiêu thanh toán của năm trước tối thiểu 70 triệu đồng/ năm",
,,,,Đối với giao dịch ngoại tệ.,,0.4%,,,
,,,,"Nhân 5 lần điểm tích lũy cho các giao dịch vào các ngày đặc biệt: ngày 8/3, 20/10,
sinh nhật khách hàng",,1%,,,
,,,,Nhân 5 lần điểm tích lũy cho các giao dịch thanh toán thuộc những lĩnh vực phụ nữ yêu thích: Chăm sóc sức khỏe và làm đẹp,"72,986,300",1%,,,
,,,,,,,,,
SHB FCB,,MASTER,Cashback,Thể thao,7997,8%,600.000đ,,
"SHB
Mastercar d Cashback",,MASTER,Cashback,Giáo dục,"8299, 8220, 8241,8244, 8211,8249",10%,"1,000,000 ₫","- Miễn phí thường niên năm đầu
- Hoàn phí thường niên năm tiếp theo khi chủ thẻ đạt điều kiện doanh số chi tiêu theo quy định của SHB từng thời kỳ","Chi tiêu trên 30m hoàn max 1m, dưới 30m hoàn 5% max 600k"
,,,,Bảo hiểm,"5960, 6300",,,,
,,,,Y tế,"4119, 5047,
5122,8071,8099,5912, 5976,8011,8041, 8043,8050,8351,8021",,,,
,,,,Siêu thị,5411,,,,"Chi tiêu trên 30m hoàn max 600k, dưới 30m hoàn 5%
max 300k"
,,,,Các giao dịch chi tiêu khác.,,0.3%,,,
Shinhan Visa Cash Back,,VISA,Cashback,Cho chi tiêu ẩm thực vào cuối tuần,5814,5%,300.000đ,"Thẻ chính: 350.000 VNĐ/năm. Thẻ phụ: 250.000 VNĐ/năm.Điều kiện miễn phí thường niên từ năm thứ 2 trở đi: Chi tiêu trên thẻ trong năm trước đó đạt tối thiểu 35 triệu
VNĐ.",Với điều kiện tổng chi tiêu trong chu kỳ sao kê đạt tối thiểu 10 triệu VNĐ
